city,country,date,lat,lng,max_temperature,humidity,cloudiness,wind_speed
bonfim,br,2017-09-09 10:36:21,-59.95,3.08,96.02,44.0,32.0,4.83
bonthe,sl,2017-09-09 10:36:21,-12.51,7.53,78.47,92.0,48.0,3.6
boo,se,2017-09-09 09:50:00,18.28,59.33,59.0,93.0,92.0,8.05
boralday,kz,2017-09-09 10:00:00,76.86,43.36,68.0,49.0,75.0,6.71
borba,br,2017-09-09 10:36:22,-59.59,-4.39,96.02,44.0,0.0,5.28
boueni,yt,2017-09-09 10:30:00,45.08,-12.9,78.8,69.0,0.0,6.93
brae,gb,2017-09-09 09:50:00,-1.35,60.4,55.4,87.0,88.0,10.29
bredasdorp,za,2017-09-09 10:00:00,20.04,-34.53,55.4,76.0,0.0,4.7
bridlington,gb,2017-09-09 09:50:00,-0.19,54.08,59.0,82.0,80.0,8.05
bubaque,gw,2017-09-09 10:00:00,-15.83,11.28,84.2,74.0,75.0,9.17
buenos aires,cr,2017-09-09 10:31:39,-83.33,9.17,70.55,100.0,92.0,1.14
bur gabo,so,2017-09-09 10:36:24,45.53,9.52,81.62,39.0,36.0,10.09
buraydah,sa,2017-09-09 10:00:00,43.98,26.33,95.0,17.0,40.0,13.87
busselton,au,2017-09-09 10:36:24,115.33,-33.65,58.22,100.0,92.0,9.42
cabedelo,br,2017-09-09 10:36:25,-34.83,-6.98,78.65,90.0,92.0,20.49
caconda,ao,2017-09-09 10:36:25,15.07,-13.73,69.92,19.0,0.0,6.17
calama,cl,2017-09-09 10:34:00,-68.93,-22.47,68.0,18.0,40.0,16.24
campo maior,br,2017-09-09 10:36:25,-42.17,-4.83,97.19,28.0,0.0,11.99
campoverde,pe,2017-09-09 10:00:00,-74.81,-8.48,84.2,74.0,40.0,3.36
candido mendes,br,2017-09-09 10:36:26,-45.72,-1.45,85.04,86.0,12.0,20.49
cap malheureux,mu,2017-09-09 10:00:00,57.61,-19.98,73.4,60.0,75.0,17.22
cap-aux-meules,ca,2017-09-09 10:00:00,-61.86,47.38,64.4,88.0,75.0,11.41
cape town,za,2017-09-09 10:00:00,18.42,-33.93,59.0,77.0,0.0,20.8
caracal,ro,2017-09-09 10:00:00,24.35,44.12,68.0,77.0,92.0,4.7
carangola,br,2017-09-09 10:36:27,-42.03,-20.73,82.07,41.0,36.0,4.5
caravelas,br,2017-09-09 10:36:27,-39.25,-17.71,74.96,98.0,68.0,15.68
careiro da varzea,br,2017-09-09 10:00:00,-59.81,-3.2,95.0,47.0,40.0,6.93
carnarvon,au,2017-09-09 10:36:28,113.63,-24.87,63.62,100.0,0.0,8.41
carutapera,br,2017-09-09 10:36:28,-46.02,-1.2,86.75,68.0,12.0,13.11
cassilandia,br,2017-09-09 10:36:29,-51.73,-19.11,94.22,26.0,0.0,10.98
castrillon,es,2017-09-09 10:00:00,-6.79,43.4,64.4,68.0,75.0,18.34
castro,cl,2017-09-09 10:36:29,-73.77,-42.47,49.94,61.0,0.0,4.5
caucaia,br,2017-09-09 10:00:00,-38.65,-3.74,87.8,45.0,0.0,17.22
cayenne,gf,2017-09-09 10:30:00,-52.33,4.93,91.4,59.0,0.0,10.29
ceres,za,2017-09-09 10:36:30,19.31,-33.37,52.37,76.0,0.0,2.15
cervo,es,2017-09-09 10:36:30,-7.41,43.67,64.34,100.0,92.0,18.7
chapais,ca,2017-09-09 10:00:00,-74.85,49.78,53.6,46.0,40.0,4.83
chilca,pe,2017-09-09 10:36:30,-76.74,-12.52,62.72,97.0,36.0,9.08
chincholi,in,2017-09-09 10:36:31,77.43,17.47,70.1,99.0,68.0,8.19
chuy,uy,2017-09-09 10:35:52,-53.46,-33.7,67.4,90.0,76.0,23.29
cidreira,br,2017-09-09 10:36:31,-50.21,-30.18,75.95,74.0,76.0,13.56
cleethorpes,gb,2017-09-09 09:50:00,-0.03,53.56,59.0,82.0,64.0,11.41
clyde river,ca,2017-09-09 10:00:00,-68.59,70.47,33.8,86.0,90.0,17.22
cockburn town,bs,2017-09-09 10:34:42,-74.52,24.03,87.02,90.0,8.0,24.29
codrington,ag,2017-09-09 09:56:00,-2.42,51.5,60.8,82.0,40.0,9.17
coihaique,cl,2017-09-09 10:00:00,-72.07,-45.58,46.4,39.0,0.0,8.05
comodoro rivadavia,ar,2017-09-09 10:00:00,-67.5,-45.87,51.8,40.0,0.0,14.99
conceicao do araguaia,br,2017-09-09 10:36:33,-49.26,-8.26,97.46,31.0,36.0,9.19
constitucion,cl,2017-09-09 10:36:33,-72.42,-35.33,53.0,86.0,0.0,10.2
contamana,pe,2017-09-09 10:36:33,-75.02,-7.33,87.92,63.0,0.0,2.71
cookeville,us,2017-09-09 09:55:00,-85.5,36.16,75.2,44.0,1.0,11.41
coquimbo,cl,2017-09-09 10:00:00,-71.34,-29.95,55.4,58.0,90.0,2.24
corrales,pe,2017-09-09 10:00:00,-80.44,-3.57,75.2,78.0,75.0,6.93
curvelo,br,2017-09-09 10:36:34,-44.43,-18.76,83.6,39.0,0.0,5.5
darnah,ly,2017-09-09 10:36:35,22.64,32.77,79.82,93.0,0.0,15.23
derzhavinsk,kz,2017-09-09 10:36:35,66.32,51.1,58.94,57.0,24.0,10.42
desaguadero,pe,2017-09-09 10:36:35,-69.04,-16.57,52.19,75.0,0.0,9.75
dhidhdhoo,mv,2017-09-09 10:36:35,73.1,6.88,76.49,100.0,92.0,23.29
